date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:09	47886/47886	---MCZ	200	added ('OK')	text/html	date:Sun,%2031%20Mar%202019%2006:47:07%20GMT	http://bdevs.net/zomata/zomata/index-3.html	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/index-3.html	(from )
11:41:09	116/116	---M-Z	200	added ('OK')	text/plain	etag:%22ad-58ec7328d95d0-gzip%22	http://bdevs.net/robots.txt		(from )
11:41:10	302/302	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Sep%202019%2006:11:11%20GMT	http://bdevs.net/zomata/zomata/site.webmanifest	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/site.webmanifest	(from http://bdevs.net/zomata/zomata/index-3.html)
11:41:10	2716/2716	---M--	200	added ('OK')	image/png	etag:%22a9c-5855e4c160693%22	http://bdevs.net/zomata/zomata/img/favicon.png	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/img/favicon.png	(from http://bdevs.net/zomata/zomata/index-3.html)
11:41:10	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22235ed-5855e4b7b5642-gzip%22	http://bdevs.net/zomata/zomata/css/bootstrap.min.css	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/css/bootstrap.min.css	(from http://bdevs.net/zomata/zomata/index-3.html)
11:41:10	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-5855e4b9a0963-gzip%22	http://bdevs.net/zomata/zomata/css/owl.carousel.min.css	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/css/owl.carousel.min.css	(from http://bdevs.net/zomata/zomata/index-3.html)
11:41:11	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%2210bfe-5855e4b6c27aa-gzip%22	http://bdevs.net/zomata/zomata/css/animate.min.css	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/css/animate.min.css	(from http://bdevs.net/zomata/zomata/index-3.html)
11:41:11	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5855e4b4bfd8c-gzip%22	http://bdevs.net/zomata/zomata/css/magnific-popup.css	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/css/magnific-popup.css	(from http://bdevs.net/zomata/zomata/index-3.html)
11:41:11	3519/3519	---M-Z	200	added ('OK')	text/css	etag:%22dbf-5855e4bb0f84c-gzip%22	http://bdevs.net/zomata/zomata/css/meanmenu.css	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/css/meanmenu.css	(from http://bdevs.net/zomata/zomata/index-3.html)
11:41:11	2133/2133	---M-Z	200	added ('OK')	text/css	etag:%22855-5855e4b63f9fb-gzip%22	http://bdevs.net/zomata/zomata/css/flaticon.css	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/css/flaticon.css	(from http://bdevs.net/zomata/zomata/index-3.html)
11:41:12	34680/34680	---M-Z	200	added ('OK')	text/css	etag:%228778-5855e4bc15792-gzip%22	http://bdevs.net/zomata/zomata/css/fontawesome-all.min.css	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/css/fontawesome-all.min.css	(from http://bdevs.net/zomata/zomata/index-3.html)
11:41:12	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-5855e4b34ff03-gzip%22	http://bdevs.net/zomata/zomata/css/slick.css	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/css/slick.css	(from http://bdevs.net/zomata/zomata/index-3.html)
11:41:12	11114/11114	---M-Z	200	added ('OK')	text/css	etag:%222b6a-5855e4b4cad53-gzip%22	http://bdevs.net/zomata/zomata/css/dripicons.css	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/css/dripicons.css	(from http://bdevs.net/zomata/zomata/index-3.html)
11:41:12	16450/16450	---M-Z	200	added ('OK')	text/css	etag:%224042-5855e4ba9fb4a-gzip%22	http://bdevs.net/zomata/zomata/css/themify-icons.css	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/css/themify-icons.css	(from http://bdevs.net/zomata/zomata/index-3.html)
11:41:13	9057/9057	---M-Z	200	added ('OK')	text/css	etag:%222361-5855e4b831a7a-gzip%22	http://bdevs.net/zomata/zomata/css/default.css	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/css/default.css	(from http://bdevs.net/zomata/zomata/index-3.html)
